ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33;;Ca≥y kraj;Ca≥y kraj;;;;;;5896041730.92;4896597023.91;4395382411.19;3946999014.27;;;;;;;;;;;;;
33-1;33;Projekt;Zeroemisyjna gospodarka energiπ w warunkach zrÛwnowaøonego rozwoju Polski do 2050 roku ;POIG.01.01.01-00-007/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.01;2,293,480.00;2,293,480.00;2,293,480.00;1,949,458.00;G≥Ûwny Instytut GÛrnictwa;6340126016;40-166;Katowice;ålπskie;Powiat m. Katowice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/03/31;2011/03/31
33-2;33;Projekt;ØywnoúÊ i øywienie w XXI wieku - wizja rozwoju polskiego sektora spoøywczego. ;POIG.01.01.01-00-011/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.01;2,782,780.60;2,782,780.60;2,782,780.60;2,365,363.51;Instytut Ogrodnictwa;8361848508;96-100;Skierniewice;£Ûdzkie;Powiat m. Skierniewice / Powiat skierniewicki;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.01-00-011/08-15;Nie;2011/03/03;2011/03/10
33-3;33;Projekt;Zaawansowane technologie przemys≥owe i ekologiczne dla zrÛwnowaøonego rozwoju kraju  ;POIG.01.01.01-00-012/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.01;2,003,101.68;1,982,400.00;1,982,400.00;1,685,040.00;Instytut Technologii Eksploatacji - PaÒstwowy Instytut Badawczy (ITeE - PIB);7960035805;26-600;Radom;Mazowieckie;Powiat m. Radom;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/02/28;2011/03/07
33-4;33;Projekt;Foresight w zakresie priorytetowych i innowacyjnych technologii zagospodarowywania odpadÛw pochodzπcych z gÛrnictwa wÍgla kamiennego ;POIG.01.01.01-00-014/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.01;1,958,000.00;1,958,000.00;1,958,000.00;1,664,300.00;Instytut Mechanizacji Budownictwa i GÛrnictwa Skalnego ;5250008519;02-673;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/04/11;2011/04/21
33-5;33;Projekt;Centrum Biotechnologii produktÛw leczniczych. Pakiet innowacyjnych biofarmaceutykÛw dla terapii i profilaktyki ludzi i zwierzπt;POIG.01.01.02-00-007/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;101,959,172.78;89,739,098.05;89,739,098.05;76,278,233.34;Instytut Biotechnologii i AntybiotykÛw;5250008347;02-516;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-007/08-36;Nie;2011/02/25;2011/03/07
33-6;33;Projekt;Kwantowe nanostruktury pÛ≥przewodnikowe do zastosowaÒ w biologii i medycynie - RozwÛj i komercjalizacja nowej generacji urzπdzeÒ diagnostyki molekularnej opartych o nowe polskie przyrzπdy pÛ≥przewodnikowe.;POIG.01.01.02-00-008/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;73,607,733.45;73,310,000.00;73,310,000.00;62,313,500.00;Instytut Fizyki Polskiej Akademii Nauk;5250009275;02-668;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-008/08-23;Nie;2011/02/25;2011/03/08
33-7;33;Projekt;Monitorowanie Stanu Technicznego Konstrukcji i Ocena jej Øywotnoúci;POIG.01.01.02-00-013/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;46,789,907.16;46,000,000.00;46,000,000.00;39,100,000.00;Politechnika Warszawska;5250005834;00-661;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;;;2011/04/13;2011/04/15
33-8;33;Projekt;Zintegrowany mobilny system wspomagajπcy dzia≥ania antyterrorystyczne i antykryzysowe;POIG.01.01.02-00-014/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;68,640,000.00;68,640,000.00;68,640,000.00;58,344,000.00;Przemys≥owy Instytut Automatyki i PomiarÛw PIAP;5250008815;02-486;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-014/08-34;Nie;2011/02/23;2011/03/02
33-9;33;Projekt;Nowoczesne technologie materia≥owe stosowane w przemyúle lotniczym;POIG.01.01.02-00-015/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;85,880,000.00;85,880,000.00;85,880,000.00;72,998,000.00;Politechnika Rzeszowska im. Ignacego £ukasiewicza;8130266999;35-959;RzeszÛw;;;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.01.02-00-015/08-28;Nie;2011/02/25;2011/03/09
33-10;33;Projekt;Zaawansowane materia≥y i technologie ich wytwarzania ;POIG.01.01.02-00-015/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;79,577,915.20;79,577,915.20;79,577,915.20;67,641,227.92;Instytut Metali Nieøelaznych;6310200771;44-100;Gliwice;ålπskie;Powiat m. Gliwice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/05/18;2011/05/20
33-11;33;Projekt;Modelowe kompleksy agroenergetyczne jako przyk≥ad kogenereacji rozproszonej opartej na lokalnych i odnawialnych ürÛd≥ach energii.;POIG.01.01.02-00-016/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;40,164,641.96;39,150,873.32;39,150,873.32;33,278,242.32;Instytut Maszyn Przep≥ywowych im. Roberta Szewalskiego PAN;5840357882;80-231;GdaÒsk;Pomorskie;Powiat m. GdaÒsk;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-016/08-32;Nie;2011/02/24;2011/03/02
